Identifiant	Date	Heure	Site_indice	Site_nom	Text	Sex	Poids	Check_saltans
L1/P/N40	28-mars	9h30	L1	Coulee-verte	12	F	0.0194	ok
L1/P/N41	28-mars	9h30	L1	Coulee-verte	12	F	0.0206	ok
L1/P/N42	28-mars	9h30	L1	Coulee-verte	12	F	0.0257	juv
L1/P/N5	22-mars	10h30	L1	Coulee-verte	14.4	F	0.015	juv
L1/P/N6	22-mars	10h30	L1	Coulee-verte	14.4	F	0.0213	juv
L1/P/N7	22-mars	10h30	L1	Coulee-verte	14.4	M	0.0142	ok
L1/P/N8	22-mars	10h30	L1	Coulee-verte	14.4	F	0.0154	juv
L1/P/N9	22-mars	10h30	L1	Coulee-verte	14.4	F	0.0177	juv
L2b/P/2/N1	20-avr	14h	L2b	GayeullesSud	19.5	M	0.0158	ok
L2b/P/2/N10	20-avr	14h	L2b	GayeullesSud	19.5	F	0.0395	ok
L2b/P/2/N11	20-avr	14h	L2b	GayeullesSud	19.5	F	0.0307	ok
L2b/P/2/N12	20-avr	14h	L2b	GayeullesSud	19.5	F	0.0208	juv
L2b/P/2/N13	20-avr	14h	L2b	GayeullesSud	19.5	F	0.033	ok
L2b/P/2/N14	20-avr	14h	L2b	GayeullesSud	19.5	F	0.0457	ok
L2b/P/2/N15	25-avr	9h30	L2b	GayeullesSud	21.3	M	0.0148	ok
L2b/P/2/N16	25-avr	9h30	L2b	GayeullesSud	21.3	M	0.0153	ok
L2b/P/2/N17	25-avr	9h30	L2b	GayeullesSud	21.3	M	0.0102	ok
L2b/P/2/N18	25-avr	9h30	L2b	GayeullesSud	21.3	M	0.0148	ok
L2b/P/2/N19	25-avr	9h30	L2b	GayeullesSud	21.3	M	0.0143	ok
L2b/P/2/N2	20-avr	14h	L2b	GayeullesSud	19.5	F	0.0416	ok
L2b/P/2/N20	25-avr	9h30	L2b	GayeullesSud	21.3	M	0.0151	ok
L2b/P/2/N21	25-avr	9h30	L2b	GayeullesSud	21.3	M	0.0143	ok
L2b/P/2/N22	25-avr	9h30	L2b	GayeullesSud	21.3	M	0.0146	ok
L2b/P/2/N23	25-avr	9h30	L2b	GayeullesSud	21.3	F	0.0227	ok
L2b/P/2/N24	25-avr	9h30	L2b	GayeullesSud	21.3	F	NA	juv
L2b/P/2/N25	25-avr	9h30	L2b	GayeullesSud	21.3	F	0.0229	ok
L2b/P/2/N26	25-avr	9h30	L2b	GayeullesSud	21.3	F	0.0238	ok
L2b/P/2/N27	25-avr	9h30	L2b	GayeullesSud	21.3	F	0.0245	ok
L2b/P/2/N3	20-avr	14h	L2b	GayeullesSud	19.5	F	0.0265	ok
L2b/P/2/N4	20-avr	14h	L2b	GayeullesSud	19.5	M	0.0139	ok
L2b/P/2/N5	20-avr	14h	L2b	GayeullesSud	19.5	M	0.0144	ok
L2b/P/2/N6	20-avr	14h	L2b	GayeullesSud	19.5	F	0.0113	juv
L2b/P/2/N7	20-avr	14h	L2b	GayeullesSud	19.5	F	0.038	ok
L2b/P/2/N8	20-avr	14h	L2b	GayeullesSud	19.5	M	0.0149	ok
L2b/P/2/N9	20-avr	14h	L2b	GayeullesSud	19.5	M	0.011	ok
L2b/P/N1	16-mars	9h	L2b	Gayeulles	13.3	M	0.0162	juv
L2b/P/N10	17-mars	11h	L2b	Gayeulles	16.5	F	0.0214	juv
L2b/P/N11	17-mars	11h	L2b	Gayeulles	16.5	M	0.013	juv
L2b/P/N12	17-mars	11h	L2b	Gayeulles	16.5	M	0.0179	juv
