	Identifiant	Dev_stage.x	Site.x	UHI_class_2021.x	UHI_12_02_pixel.x	UHI_03_04_pixel.x	UHI_09_04_pixel.x	Session.x	Dispositif.x	Min1	Min2	Min3	Min4	Min5	Min6	Min7	Min8	Min9	Min10	Min11	Min12	Min13	Min14	Min15	Min16	Min17	Min18	Min19	Min20	Min21	Min22	Min23	Min24	Min25	Min26	Min27	Min28	Min29	Min30	Min31	Min32	Min33	Min34	Min35	Min36	Min37	Min38	Min39	Min40	Min41	Min42	Min43	Min44	Min45	Min46	Min47	Min48	Min49	Min50	Min51	Min52	Min53	Min54	Min55	Min56	Min57	Min58	Min59	Min60	Min61	Min62	Min63	Min64	Min65	Min66	Min67	Min68	Min69	Min70	Min71	Min72	Min73	Min74	Min75	Min76	Min77	Min78	Min79	Min80	Min81	Min82	Min83	Min84	Min85	Min86	Min87	Min88	Min89	Min90
257	L3/P/N21	Juvenile	L3	Low	0.825	0.85	0.8250	1	A	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	34.4	34.4	34.4	34.4	34.4	34.4	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5
258	L3/P/N22	Juvenile	L3	Low	0.825	0.85	0.8250	1	A	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	15.1	28.1	30.4	30.4	32.7	32.7	32.7	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	38.2	34.2	26.4	29.1	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	34.5	34.2	34.2	32.4	32.4	32.4	32.4
259	L3/P/N23	Adult	L3	Low	0.825	0.85	0.8250	1	A	27.2	15.4	31.3	31.3	31.3	31.3	31.3	31.1	27.7	29.1	30.6	32	32	35.1	35.1	34.4	34.4	34.4	34.4	28.8	34.2	34.2	34.2	34.2	34.2	36	35.5	25.7	35.5	33.3	30	32.7	27.3	32.4	32.4	34.2	34.2	23.5	27.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	32.7	32.7	32.7	32.7	32.7	32.7	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	32.6
260	L3/P/N24	Adult	L3	Low	0.825	0.85	0.8250	1	A	32.4	33.8	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	25.7	34.9	37.8	33.5	33.5	33.5	33.5	37.8	30.9	33.6	33.3	30.6	15.4	NA	35.3	27.5	33.8	31.8	36	32.6	30.9	34.7	28.8	36.9
261	L3/P/N25	Adult	L3	Low	0.825	0.85	0.8250	1	A	34.9	34.9	34.9	34.9	31.7	34.7	28.2	36	36	34	34	27.5	30.8	35.3	35.3	34.2	34.2	34.2	34.2	34.2	34.2	26.4	35.3	35.3	35.3	36.2	35.3	30	37.8	34.2	34.2	34.2	34.2	32.7	37.4	34	30.2	29.7	34.4	34.4	19.9	30.4	35.3	20.8	26.1	34.9	34.9	18.7	32.7	32.7	32.7	32.7	32.7	32.7	23.9	31.1	36	31.3	32	35.3	35.3	32.7	32.7	32.7	33.1	35.5	35.5	30.6	30.6	32	17	31.1	34.7	34.7	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	21.6	30.4	35.6	NA	35.3	35.3	35.3	35.3
262	L3/P/N26	Juvenile	L3	Low	0.825	0.85	0.8250	1	A	34.4	34.4	34.4	34.4	34.4	34.4	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.6	35.6	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.3	33.3	33.3	33.3	33.3	33.3	33.3	32.7	33.3	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6
263	L3/P/N27	Adult	L3	Low	0.825	0.85	0.8250	1	A	32	32	22.3	25.2	32	31.8	31.8	31.8	31.8	16	26.8	24.8	26.3	27.9	37.3	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	30.6	30.6	30.6	30.8	30.8	36.7	34.4	34.4	34.4	34.4	34.4	33.3	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1
264	L3/P/N28	Adult	L3	Low	0.825	0.85	0.8250	1	A	19	34.4	28.8	21.9	29.1	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	17.6	33.6	33.6	33.6	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	33.5	33.6	33.6	33.6	33.6	33.6	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	32.6	37.8	37.8	35.8	35.1	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	32.9	32.9	32.9	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6
265	L3/P/N29	Juvenile	L3	Low	0.825	0.85	0.8250	1	B	31.9	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	34.1	34.1	34.1	34.1	34.1	34.1	34.1	34.1	34.1	34.1	34.1	34.1	34.1	34.1	34.1	34.1	34.1	34.1	34.1
266	L3/P/N3	Juvenile	L3	Low	0.825	0.85	0.8250	1	A	25.9	31.7	31.7	32.6	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	18.9	32.6	32.6	32.9	27.9	32.6	29.3	NA	25.9	30.9	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	29.1	32.7	32.9	32.9	32.9	32.9	32.9
267	L3/P/N30	Adult	L3	Low	0.825	0.85	0.8250	1	B	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.5	34.5	34.5	34.5	34	34	33.5	33.5	33.5	33.5	33.5	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33.3	33.3	33.3	33.3	33.3	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	32.8	32.6	32.6	32.6	32.6	34	34	34	34
268	L3/P/N32	Juvenile	L3	Low	0.825	0.85	0.8250	1	B	28.6	23.4	29.9	20.2	30.6	20.5	29.1	32.3	32.3	32.3	32.8	30.4	30.4	31.9	30.6	26.9	29.1	32.3	32.3	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	27.1	33.1
269	L3/P/N33	Juvenile	L3	Low	0.825	0.85	0.8250	1	B	28.6	23.5	29.9	20.2	30.6	23.9	25.9	25.9	37.3	32.3	32.8	30.4	30.4	31.9	30.6	26.9	29.1	32.3	32.3	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	27.1	33.1
270	L3/P/N34	Adult	L3	Low	0.825	0.85	0.8250	1	B	25.7	25.7	16.8	31.9	31.9	31.9	31.9	21.9	23.7	29.3	29.3	30.3	22.2	25.2	25.2	25.2	25.2	25.2	25.9	16.8	19.8	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	16.8	33.3	33.3	33.3	33.3	33.3	33.3	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6
271	L3/P/N36	Adult	L3	Low	0.825	0.85	0.8250	1	B	17.7	28.6	28.9	31.3	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	21.7	24	33	37	36.7	22.5	22.5	23.9	23.9	23.9	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.9	31.9	31.9	31.9
272	L3/P/N37	Adult	L3	Low	0.825	0.85	0.8250	1	B	25.6	22.2	22.2	30.3	30.3	23.4	25.6	30.9	30.9	30.9	16.8	22.2	25.9	25.9	25.9	24.2	25.2	30.3	30.3	30.3	30.3	30.3	30.3	30.3	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6
273	L3/P/N38	Adult	L3	Low	0.825	0.85	0.8250	1	B	32.6	23.7	25.1	25.1	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3
274	L3/P/N39	Adult	L3	Low	0.825	0.85	0.8250	1	B	30.4	30.4	30.4	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	37.7	37.5	36	36	36	36	36	36	36	36	36	36	36	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	31.9	31.9	31.9	31.9	31.9	31.9	31.9	31.9	31.9	31.9	31.9	31.9	31.9	37.7	37.7
275	L3/P/N4	Juvenile	L3	Low	0.825	0.85	0.8250	1	A	25.3	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	30.2	31.3	31.3	31.5	31.5	31.5	31.5	31.5	31.5	31.5	31.5	31.5	31.5	31.5	31.5	31.5	31.5	31.5	31.5	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5
276	L3/P/N40	Adult	L3	Low	0.825	0.85	0.8250	1	B	33.8	17.2	17.5	26.2	26.2	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	35.3	35.3	35.3	35.3	35.3	35.3	34.1	34.1	34.1	34.1	32.3	32.3	32.3	16.8	27.9	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33	33	33	33	33	33	33	33	33	33	23.9	32.3	35.6	34.1	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34
277	L3/P/N41	Juvenile	L3	Low	0.825	0.85	0.8250	1	B	29.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	36	36	36	36	36	36	36	36	36	36	36	36	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.3	35.3	35.3	35.3	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1
278	L3/P/N42	Juvenile	L3	Low	0.825	0.85	0.8250	1	B	26.4	26.4	26.4	26.4	19.2	22.5	25.6	25.6	25.6	25.6	25.6	27.6	27.6	27.6	27.6	27.6	27.6	27.6	27.6	27.6	32.6	36	36	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	32.8	32.8	32.8	32.8	32.8	34	34	34	34	34	34	34	34	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	35.3	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5
279	L3/P/N5	Juvenile	L3	Low	0.825	0.85	0.8250	1	A	31.7	31.7	31.7	24.8	28.8	28.8	28.8	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	30.9	30.9	32	32	32	32	32	32	32	32	32	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.4	34.4	34.4	34.4	34.4	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	30	32.7	32.7	32.7	32.7	35.3	34.2	34.2	34.2	34.2
280	L3/P/N6	Juvenile	L3	Low	0.825	0.85	0.8250	1	A	27.3	27.3	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	27.7	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	34.9	34.9	34.9	NA	34	34	34	34	34	34	34	34	34	34	34	34	33.5	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	33.1	33.1	33.1
281	L3/P/N7	Juvenile	L3	Low	0.825	0.85	0.8250	1	A	22.8	25.2	25.2	25.2	25.2	25.2	25.2	25.2	26.3	27.5	27.5	27.5	27.5	27.5	27.7	27.7	28.8	29	29	29	29	29	29	30.2	30.2	30.2	30.2	30.2	31.5	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	32.4	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	34.4	34	34	34	34	34	34	34	34	34	33.3	33.3	33.3	33.3	33.3	33.3	33.3
282	L3/P/N8	Juvenile	L3	Low	0.825	0.85	0.8250	1	A	24.8	24.8	30.2	30.2	30.2	30.2	15.4	30.4	30.4	30	32	32	29.9	33.5	31.7	31.7	30.8	15.4	30.4	30.4	30.4	29	29.7	34	15.1	28.2	31.5	31.8	31.8	36.9	32.9	28.1	30.6	30.6	30.6	30.6	30.6	19.8	30.4	30.4	30.4	34	31.1	30.8	31.3	31.3	15.4	29.7	33.5	33.5	33.5	33.5	33.5	32.7	32.7	32.7	31.7	31.7	33.6	31.7	31.7	34	31.1	30.9	30.9	30.9	15.4	28.4	31.3	31.7	17.4	29.7	33.5	33.5	33.5	15.4	31.8	NA	31.8	15.1	30.6	34	32.2	29	32	26.4	31.1	31.1	34.4	30.4
283	L3/P/N9	Juvenile	L3	Low	0.825	0.85	0.8250	1	A	31.8	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	36.9	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1
284	M1/P/2/N1	Adult	M1	Medium	1.450	1.6	1.4500	2	A	31.3	25.9	25.5	30.6	15.1	33.8	34.9	15.1	29	23.6	28.8	28.8	28.8	28.8	28.8	28.8	28.8	28.8	28.8	28.8	28.8	28.8	28.8	28.8	28.8	28.8	28.8	29.3	29.3	29.3	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	31.9	31.9	31.9	31.9	29	31.5	31.5	31.5	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	30.2	31.5	31.5	31.5	31.5	31.5	31.5	32.4	32.4	32.4	32.4
285	M1/P/2/N10	Adult	M1	Medium	1.450	1.6	1.4500	2	A	26.1	26.1	32.6	34.6	22.7	24.3	15.4	31.5	28.1	24.1	26.6	29.9	29.7	30.4	32	29.1	15.4	32	34.2	37.8	30.8	31.5	36.5	23.9	19.6	27	37.8	38.2	37.8	34.2	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	15.4	18.7	24.1	31.9	30	25.7	27.7	27.7	27.7	27.7	27.2	27.2	27.2	29.1	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6	34.6
286	M1/P/2/N11	Adult	M1	Medium	1.450	1.6	1.4500	2	A	16	33.3	23	27.5	29	30.2	30.2	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	20.1	20.1	20.1	25.9	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	30.9	30.9	30.9	30.9	30.9	32.8	32.8	32.8	32.8	32.8	32.8
287	M1/P/2/N12	Adult	M1	Medium	1.450	1.6	1.4500	2	A	30.6	29	25.4	18.7	26.1	17.3	26.8	26.8	26.8	26.8	27.3	27.3	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	30.8	30.6	30.2	31.3	32	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	33.1	33.1	33.1	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5
288	M1/P/2/N13	Adult	M1	Medium	1.450	1.6	1.4500	2	A	34.4	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	31.7	18	19.4	19.4	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	24.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8
289	M1/P/2/N14	Adult	M1	Medium	1.450	1.6	1.4500	2	A	34.7	33.5	28.4	27.7	22.5	21.9	21.9	25.2	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	34.2	35.3	35.3	35.3	35.3	33.5	33.5	33.5	33.5	33.5	NA	34.2	34.2	34.2	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	18.7	27.3	27.3	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9
290	M1/P/2/N15	Adult	M1	Medium	1.450	1.6	1.4500	2	B	27.6	30.8	30.8	33	33	33	34.3	34.3	37.2	37	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	36.7	36.7	36.7	37	37	37	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37
291	M1/P/2/N16	Adult	M1	Medium	1.450	1.6	1.4500	2	B	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2	29.6	23.5	33.3	35.3	37.3	31.1	36.3	30.9	20.5	37.3	32.3	35.3	34.8	33.8	27.7	37.3	35.6	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.7	37.7	37.7	28.1	36	32.3	28.8	37	37	36.5	22	29.6	31.3	16.8	33.1	17.2	17.2	35.6	37.5	37.5	37.7	32.1	30.3	35.6	35.6	34	30.3	33.6	37.3	32.1	33.3	37	38	34.6	34.6	35.8	28.1	37.5	29.6	34.6	34.6	34.6
292	M1/P/2/N18	Adult	M1	Medium	1.450	1.6	1.4500	2	B	29.1	28.6	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7
